,C10,SVEC,RAW
586,0.23935582,0.4064183,0.35422587
587,0.20885432,0.26008072,0.5310649
588,0.32609352,0.2974875,0.37641892
589,0.36769098,0.30878606,0.32352293
590,0.39901835,0.20834076,0.39264092
591,0.39740065,0.16549645,0.4371029
592,0.29321444,0.22617437,0.48061115
593,0.22792034,0.13460301,0.6374767
594,0.4042034,0.27680868,0.318988
595,0.27515942,0.31077686,0.4140637
596,0.2559374,0.23674479,0.5073178
597,0.26073167,0.16331,0.57595825
598,0.33419555,0.5107878,0.15501665
599,0.35196793,0.3017683,0.34626374
600,0.2755272,0.38865146,0.33582136
601,0.27620837,0.3431946,0.38059703
602,0.3670249,0.39141843,0.24155664
603,0.28796577,0.16643462,0.54559964
604,0.33765548,0.39233828,0.27000624
605,0.36751625,0.26398554,0.36849818
606,0.28185493,0.38183346,0.33631155
607,0.19590853,0.3552884,0.44880304
608,0.24080853,0.29917866,0.46001282
609,0.42168477,0.46071315,0.117602006
610,0.3550361,0.37163717,0.27332675
611,0.3850117,0.3687108,0.24627757
612,0.34505537,0.30348277,0.35146183
613,0.34084672,0.484105,0.17504828
614,0.3485772,0.33190113,0.31952167
615,0.3390302,0.31248987,0.34847996
616,0.31238455,0.371341,0.31627443
617,0.3353271,0.13988112,0.5247917
618,0.4188966,0.382889,0.19821441
619,0.3063834,0.57858473,0.11503186
620,0.33918214,0.4836122,0.17720571
621,0.2615775,0.3695614,0.36886108
622,0.32190767,0.18493219,0.49316022
623,0.24798554,0.5480338,0.20398068
624,0.409125,0.45914578,0.13172923
625,0.29297343,0.3659512,0.34107536
626,0.3506897,0.22284421,0.42646608
627,0.40995452,0.33861881,0.25142673
628,0.3321891,0.3620741,0.30573675
629,0.35923854,0.34456435,0.29619706
630,0.4424427,0.40389505,0.15366225
631,0.37845236,0.16821034,0.45333722
632,0.2536365,0.40279326,0.34357026
633,0.24612176,0.18569732,0.5681809
634,0.35993087,0.32674143,0.31332764
635,0.20232351,0.24064822,0.55702823
636,0.2893208,0.39056835,0.32011083
637,0.42435178,0.29990843,0.27573976
638,0.28808552,0.28237584,0.42953864
639,0.32591128,0.41132665,0.26276204
640,0.39483723,0.44905713,0.15610565
641,0.3701878,0.33722824,0.29258397
642,0.39231834,0.40743044,0.20025124
643,0.23905864,0.339886,0.42105538
644,0.35953474,0.27933863,0.36112666
645,0.2577874,0.40713608,0.33507654
646,0.371593,0.22957945,0.39882752
647,0.2990021,0.20384029,0.49715754
648,0.3741541,0.3913044,0.23454149
649,0.37700436,0.5101701,0.11282553
650,0.34266526,0.1698245,0.4875103
651,0.3650428,0.34322146,0.29173568
652,0.39673236,0.50081503,0.102452606
653,0.26321295,0.3256675,0.41111955
654,0.41264474,0.47389024,0.11346498
655,0.25363436,0.19139852,0.55496705
656,0.37459683,0.14139463,0.48400855
657,0.36294487,0.35967144,0.2773837
658,0.40982303,0.35640803,0.23376895
659,0.26584908,0.62443745,0.109713495
660,0.43642783,0.45346254,0.11010963
661,0.4362003,0.46331453,0.100485116
662,0.19588773,0.16551134,0.63860095
663,0.33513674,0.12680794,0.5380553
664,0.32138792,0.34913677,0.3294753
665,0.38314056,0.23544331,0.38141617
666,0.49020526,0.2380407,0.27175406
667,0.3972369,0.40427276,0.19849032
668,0.43731454,0.42139772,0.14128774
669,0.33855328,0.34491748,0.3165292
670,0.4006368,0.496064,0.10329923
671,0.41593236,0.36669984,0.21736781
672,0.32558575,0.27454332,0.39987087
673,0.3548021,0.28831807,0.3568798
674,0.39705482,0.25880527,0.3441399
675,0.4461818,0.24046013,0.31335804
676,0.48878908,0.3085504,0.20266052
677,0.3758089,0.28115147,0.34303954
678,0.359884,0.31793362,0.3221824
679,0.29029405,0.45318854,0.25651738
680,0.27617756,0.4168878,0.30693462
681,0.2393349,0.3526316,0.40803352
682,0.4069225,0.29198986,0.30108762
683,0.2701733,0.6044696,0.12535706
684,0.31927627,0.30441543,0.3763083
685,0.35675508,0.31659272,0.32665223
686,0.3908251,0.15917687,0.4499981
687,0.26397747,0.3667852,0.36923733
688,0.40815964,0.34071872,0.2511216
689,0.45245916,0.23648271,0.31105816
690,0.4429434,0.32884547,0.22821118
691,0.3439354,0.2179509,0.43811372
692,0.19065912,0.20185834,0.6074826
693,0.41285503,0.500731,0.086413935
694,0.413979,0.29938686,0.2866341
695,0.48227918,0.30171192,0.21600887
696,0.35463783,0.27197966,0.3733825
697,0.37292886,0.45418262,0.17288852
698,0.2735851,0.3480533,0.37836158
699,0.27386165,0.59901875,0.12711963
